,Vocabulary,name,Users,accepted_units,accepted_scale,accepted_instruments,calibration_review,apply_function,variable_name,long_name,units,instrument,scale,standard_name,sdn_parameter_urn,sdn_parameter_name,sdn_uom_urn,sdn_uom_name,definition,convention,legacy_gf3_code,SDN:P01::Alternative Name,comments,coverage_content_type,ioos_category,seabird_term
0,BIO,COND,BIO,mmHo,nan,nan,,nan,COND,Conductance,mS,,,,,Electrical Conductance,,,,,COND,,,,,Conductivity
1,BIO,CNTR,"BIO,IML,MEDS",none,nan,^CNTR_&#124;^Counter&#124;^scan number,,nan,ScanNumber,Scan Number,1,,,,,,SDN:P06::UUUU,Dimensionless,,,CNTR,,,auxiliaryInformation,Other,
2,BIO,CNTR,"BIO,IML,MEDS",none,nan,^SNCNTR_&#124;Scans per Bin,,nan,RecPerBin,Number of scans per bin,1,,,,,,SDN:P06::UUUU,Dimensionless,,,CNTR,,,auxiliaryInformation,Other,
3,BIO,SNCN,"BIO,IML,MEDS",none,nan,^Scan Counter,,nan,RecPerBin,Number of scans per bin,1,,,,,,SDN:P06::UUUU,Dimensionless,,,CNTR,,,auxiliaryInformation,Other,
4,BIO,SNCN,"BIO,IML,MEDS",none,nan,^SNCNTR_&#124;Scans per Bin,,nan,RecPerBin,Number of scans per bin,1,,,,,,SDN:P06::UUUU,Dimensionless,,,CNTR,,,auxiliaryInformation,Other,
5,BIO,CRAT,,none,nan,CTD&#124;STD&#124;GUILDLINE&#124;GUILDLN&bsol;.*&#124;SBE *19&#124;SBE *9&#124;SBE *37&#124;SBE *25&#124;Microcat&#124;Maestro&#124;Concerto&#124;XR&bsol;-*620&#124;XR&bsol;-*420,,lambda CRAT: 42.814*CRAT/10,CNDCST01,Electrical Conductivity ,S/m,,,sea_water_electrical_conductivity,SDN:P01::CNDCST01,Electrical conductivity of the water body by CTD,SDN:P06::UECA,Siemens per metre,,,CNDC,CTDCond,,,,Conductivity
6,BIO,CRAT,,dimensionless&#124;none,nan,nan,,nan,CRAT_XX,Conductivity Ratio,1,,,,,,SDN:P06::UUUU,Dimensionless,,,CRAT,,Conductivity Ratio was calculated by using the following equation: CRAT = Conductivity [S/m] * 10.0 / 42.814,physicalMeasurement,Other,Conductivity
7,BIO,FLOR,"BIO,IML,MEDS",mg/m^3&#124;mg/m**3&#124;milligram per metre cube&#124;ug/L&#124;ug/l&#124;none,nan,^FC_,,nan,CPHLPR01,"Fluorescence, Chelsea Aqua",mg/m^3,Chelsea Technologies Group Aquatracka III fluorometer,,mass_concentration_of_chlorophyll_in_sea_water,SDN:P01::CPHLPR01,Concentration of chlorophyll-a {chl-a CAS 479-61-8} per unit volume of the water body [particulate >unknown phase] by in-situ chlorophyll fluorometer,SDN:P06::UMMC,Milligrams per cubic metre,,,FLOR,chl-a_water_ISfluor,,physicalMeasurement,Other,
8,BIO,FLOR,"BIO,IML,MEDS",mg/m^3&#124;mg/m**3&#124;milligram per metre cube&#124;ug/L&#124;ug/l&#124;none,nan,^FCUVA_,,nan,CDOMZZ01,Concentration of coloured dissolved organic matter {CDOM Gelbstoff} per unit volume of the water body [dissolved plus reactive particulate phase] by fluorometry,mg/m^3,Chelsea Technologies Group UV Aquatracka fluorometer,,concentration_of_colored_dissolved_organic_matter_in_sea_water_expressed_as_equivalent_mass_fraction_of_quinine_sulfate_dihydrate,SDN:P01::CDOMZZ01,Concentration of coloured dissolved organic matter {CDOM Gelbstoff} per unit volume of the water body [dissolved plus reactive particulate phase] by fluorometry,SDN:P06::UMMC,Milligrams per cubic metre,,,FLOR,CDOM_fluor,,physicalMeasurement,Colored Dissolved Organic Matter,"Fluorometer, Chelsea UV Aquatracka"
9,BIO,FLOR,"BIO,IML,MEDS",mg/m^3&#124;mg/m**3&#124;milligram per metre cube&#124;ug/L&#124;ug/l&#124;none,nan,^FECO_,,nan,CPHLPR01,"Fluorometer, WET Labs ECO-AFL/FL",mg/m^3,Chelsea Technologies Group Aquatracka III fluorometer,,mass_concentration_of_chlorophyll_in_sea_water,SDN:P01::CPHLPR01,Concentration of chlorophyll-a {chl-a CAS 479-61-8} per unit volume of the water body [particulate >unknown phase] by in-situ chlorophyll fluorometer,SDN:P06::UMMC,Milligrams per cubic metre,,,FLOR,chl-a_water_ISfluor,,physicalMeasurement,Other,
10,BIO,FLOR,"BIO,IML,MEDS",mg/m^3&#124;mg/m**3&#124;milligram per metre cube&#124;ug/L&#124;ug/l&#124;none,nan,^FS_,,nan,CPHLPR01,"Fluorescence, SeaTech",mg/m^3,Seapoint Chlorophyll Fluorometer,,mass_concentration_of_chlorophyll_in_sea_water,SDN:P01::CPHLPR01,Concentration of chlorophyll-a {chl-a CAS 479-61-8} per unit volume of the water body [particulate >unknown phase] by in-situ chlorophyll fluorometer,SDN:P06::UMMC,Milligrams per cubic metre,,,FLOR,chl-a_water_ISfluor,,physicalMeasurement,Other,
11,BIO,FLOR,"BIO,IML,MEDS",mg/m^3&#124;mg/m**3&#124;milligram per metre cube&#124;ug/L&#124;ug/l&#124;none,nan,^FSP_,,nan,CPHLPR01,"Fluorescence, Seapoint",mg/m^3,Seapoint Chlorophyll Fluorometer,,mass_concentration_of_chlorophyll_in_sea_water,SDN:P01::CPHLPR01,Concentration of chlorophyll-a {chl-a CAS 479-61-8} per unit volume of the water body [particulate >unknown phase] by in-situ chlorophyll fluorometer,SDN:P06::UMMC,Milligrams per cubic metre,,,FLOR,chl-a_water_ISfluor,,physicalMeasurement,Other,
12,BIO,FLOR,"BIO,IML,MEDS",mg/m^3&#124;mg/m**3&#124;milligram per metre cube&#124;ug/L&#124;ug/l&#124;none,nan,^FCMINI,,nan,CPHLPR01,"Fluorescence, Seapoint",mg/m^3,Chelsea Mini Chl Con,,mass_concentration_of_chlorophyll_in_sea_water,SDN:P01::CPHLPR01,Concentration of chlorophyll-a {chl-a CAS 479-61-8} per unit volume of the water body [particulate >unknown phase] by in-situ chlorophyll fluorometer,SDN:P06::UMMC,Milligrams per cubic metre,,,FLOR,chl-a_water_ISfluor,,physicalMeasurement,Other,
13,BIO,FLOR,"BIO,IML,MEDS",mg/m^3&#124;mg/m**3&#124;milligram per metre cube&#124;ug/L&#124;ug/l&#124;none,nan,^FSPUV_,,nan,CDOMZZ01,"Fluorescence, Seapoint Ultraviolet",mg/m^3,Seapoint Ultraviolet Fluorometer,,concentration_of_colored_dissolved_organic_matter_in_sea_water_expressed_as_equivalent_mass_fraction_of_quinine_sulfate_dihydrate,SDN:P01::CDOMZZ01,Concentration of coloured dissolved organic matter {CDOM Gelbstoff} per unit volume of the water body [dissolved plus reactive particulate phase] by fluorometry,SDN:P06::UMMC,Milligrams per cubic metre,,,FLOR,CDOM_fluor,,physicalMeasurement,Colored Dissolved Organic Matter,"Fluorometer, Seapoint Ultraviolet"
14,BIO,FLOR,"BIO,IML,MEDS",mg/m^3&#124;mg/m**3&#124;milligram per metre cube&#124;ug/L&#124;ug/l&#124;none,nan,^FWETLABS_&#124;^FWGREEN,,nan,CPHLPR01,"Fluorescence, WET Labs",mg/m^3,WETLabs WETStar fluorometer,,mass_concentration_of_chlorophyll_in_sea_water,SDN:P01::CPHLPR01,Concentration of chlorophyll-a {chl-a CAS 479-61-8} per unit volume of the water body [particulate >unknown phase] by in-situ chlorophyll fluorometer,SDN:P06::UMMC,Milligrams per cubic metre,,,FLOR,chl-a_water_ISfluor,,physicalMeasurement,Other,
15,BIO,FLOR,"BIO,IML,MEDS",mg/m^3&#124;mg/m**3&#124;milligram per metre cube&#124;ug/L&#124;ug/l&#124;none,nan,^WETCDOM_,,nan,CDOMZZ01,Concentration of coloured dissolved organic matter {CDOM Gelbstoff} per unit volume of the water body [dissolved plus reactive particulate phase] by fluorometry,mg/m^3,WETLabs CDOM fluorometer,,concentration_of_colored_dissolved_organic_matter_in_sea_water_expressed_as_equivalent_mass_fraction_of_quinine_sulfate_dihydrate,SDN:P01::CDOMZZ01,Concentration of coloured dissolved organic matter {CDOM Gelbstoff} per unit volume of the water body [dissolved plus reactive particulate phase] by fluorometry,SDN:P06::UMMC,Milligrams per cubic metre,,,FLOR,CDOM_fluor,,physicalMeasurement,Colored Dissolved Organic Matter,"Fluorescence, WET Labs CDOM"
16,BIO,FLOR,"BIO,IML,MEDS",mg/m^3&#124;mg/m**3&#124;milligram per metre cube&#124;ug/L&#124;ug/l&#124;none,nan,fluoresdence&#124;fluo&#124;Flourescence&#124;^FLOR(_&#124;$)&#124;Fluorescence&#124;CTD fluorescence,,nan,CPHLPR01,Concentration of chlorophyll-a {chl-a CAS 479-61-8} per unit volume of the water body [particulate >unknown phase] by in-situ chlorophyll fluorometer,mg/m^3,,,mass_concentration_of_chlorophyll_in_sea_water,SDN:P01::CPHLPR01,Concentration of chlorophyll-a {chl-a CAS 479-61-8} per unit volume of the water body [particulate >unknown phase] by in-situ chlorophyll fluorometer,SDN:P06::UMMC,Milligrams per cubic metre,,,FLOR,chl-a_water_ISfluor,,physicalMeasurement,Other,
17,GF3,IDEN,"BIO,IML,MEDS",none,nan,scan number&#124;sample number,,nan,ScanNumber,Scan Number,1,,,,,,SDN:P06::UUUU,Dimensionless,,,IDEN,,,auxiliaryInformation,Other,
18,BIO,PSAR,"BIO,IML,MEDS",ueinsteins/s/m^2&#124;micromole per metre square per second&#124;micromoles/m^2/sec&#124;umol photons/m2/s&#124;none,nan,nan,,nan,IRRDUV01,Photosynthetically Active Radiation,uEinsteins/s/m^2,,,downwelling_photosynthetic_photon_spherical_irradiance_in_sea_water,SDN:P01::IRRDUV01,Downwelling vector irradiance as photons of electromagnetic radiation (PAR wavelengths) in the water body by cosine-collector radiometer,SDN:P06::UMES,MicroEinsteins per square metre per second,,,PSAR,SubsurVPAR,,physicalMeasurement,Optical Properties,
19,BIO,SPAR,"BIO,MEDS","ueinsteins/s/m^2&#124;umol photons/m2/s&#124;umol photons/m2/s, logarithmic&#124;none",nan,nan,,nan,IRRDSV01,Surface Photosynthetically Active Radiation,uEinsteins/s/m^2,,,surface_downwelling_photosynthetic_photon_spherical_irradiance_in_sea_water,SDN:P01::IRRDSV01,Downwelling vector irradiance as photons of electromagnetic radiation (PAR wavelengths) in the atmosphere by cosine-collector radiometer,SDN:P06::UMES,MicroEinsteins per square metre per second,,,SPAR,SurfVPAR,,physicalMeasurement,Optical Properties,
20,BIO,UNKN,,1/m,nan,CStarAt0,,nan,ATTNZS01,Attenuation (red light wavelength) per unit length of the water body by transmissometer,1/m,WETLabs C-Star transmissometer,,,SDN:P01::ATTNZR01,Attenuation (red light wavelength) per unit length of the water body by transmissometer,SDN:P06::UPRM,per metre,,,ATBE,Atten_red,,physicalMeasurement,Optical Properties,
21,BIO,UNKN,,%,nan,CStarTr0,,nan,OPTCPS01,Transmittance (red light wavelength) per unit length of the water body,%,WET Labs C-Star,,,SDN:P01::OPTCPS01,Transmittance (red light wavelength) per unit length of the water body,SDN:P06::UPCT,Percent,,,TRAN,TransmRedLight,,physicalMeasurement,Optical Properties,
22,BIO,UNKN,,none,nan,oxsatML/L,,nan,DOconc_at_sat,Oxygen Concentration at Saturation,mL/L,,,,,,,,,,,,,,Other,
23,BIO,UNKN,,umol photons/m2/s,nan,par/log,,nan,IRRDUV01,Photosynthetically Active Radiation,uEinsteins/s/m^2,,,downwelling_photosynthetic_photon_spherical_irradiance_in_sea_water,SDN:P01::IRRDUV01,Downwelling vector irradiance as photons of electromagnetic radiation (PAR wavelengths) in the water body by cosine-collector radiometer,SDN:P06::UMES,MicroEinsteins per square metre per second,,,PSAR,SubsurVPAR,,physicalMeasurement,Optical Properties,
24,BIO,UNKN,,none,nan,par&#124;PSAR_01,,nan,IRRDUV01,Photosynthetically Active Radiation,uEinsteins/s/m^2,,,downwelling_photosynthetic_photon_spherical_irradiance_in_sea_water,SDN:P01::IRRDUV01,Downwelling vector irradiance as photons of electromagnetic radiation (PAR wavelengths) in the water body by cosine-collector radiometer,SDN:P06::UMES,MicroEinsteins per square metre per second,,,PSAR,SubsurVPAR,,physicalMeasurement,Optical Properties,
25,BIO,UNKN,"BIO,MEDS",none,nan,spar,,nan,IRRDSV01,Surface Photosynthetically Active Radiation,uEinsteins/s/m^2,,,surface_downwelling_photosynthetic_photon_spherical_irradiance_in_sea_water,SDN:P01::IRRDSV01,Downwelling vector irradiance as photons of electromagnetic radiation (PAR wavelengths) in the atmosphere by cosine-collector radiometer,SDN:P06::UMES,MicroEinsteins per square metre per second,,,SPAR,SurfVPAR,,physicalMeasurement,Optical Properties,
26,BIO,UNKN,BIO,m^-1/sr,nan,turbWETbb0,,nan,VSCTXX01,Turbidity of water in the water body,m^-1/sr,,,volume_scattering_function_of_radiative_flux_in_sea_water,SDN:P01::VSCTXXXX,Volume scattering of light (unspecified wavelengths) by the water body,SDN:P06::PMSR,per metre per steradian,Turbidity of water in the water body,,TURW,Light_scattering,,physicalMeasurement,Total Suspended Matter,
27,BIO,UNKN,"BIO,IML,MEDS",none,nan,wetStar&#124;Flor,,nan,CPHLPR01,"Fluorescence, WET Labs",mg/m^3,WETLabs WETStar fluorometer,,mass_concentration_of_chlorophyll_in_sea_water,SDN:P01::CPHLPR01,Concentration of chlorophyll-a {chl-a CAS 479-61-8} per unit volume of the water body [particulate >unknown phase] by in-situ chlorophyll fluorometer,SDN:P06::UMMC,Milligrams per cubic metre,,,FLOR,chl-a_water_ISfluor,,physicalMeasurement,Other,
28,BIO,UNKN,"BIO,IML,MEDS",none,nan,FS_,,nan,CPHLPR01,"Fluorescence, Sea Tech",mg/m^3,,,mass_concentration_of_chlorophyll_in_sea_water,SDN:P01::CPHLPR01,Concentration of chlorophyll-a {chl-a CAS 479-61-8} per unit volume of the water body [particulate >unknown phase] by in-situ chlorophyll fluorometer,SDN:P06::UMMC,Milligrams per cubic metre,,,FLOR,chl-a_water_ISfluor,,physicalMeasurement,Other,
29,BIO,UNKN,,none,nan,upoly&bsol;d&plus;,,nan,,,,,,,,,,,,,,,,physicalMeasurement,Other,
30,BIO,UNKN,"BIO,IML,MEDS",none,nan,oxMm/kg,,nan,DOXMZZ01,Concentration of oxygen {O2 CAS 7782-44-7} per unit mass of the water body [dissolved plus reactive particulate phase],umol/kg,,,moles_of_oxygen_per_unit_mass_in_sea_water,SDN:P01::DOXMZZ01,Concentration of oxygen {O2 CAS 7782-44-7} per unit mass of the water body [dissolved plus reactive particulate phase],SDN:P06::KGUM,Micromoles per kilogram,Concentration of oxygen {O2 CAS 7782-44-7} per unit volume of the water body [dissolved plus reactive particulate phase] by in-situ sensor,,DOXY,DissO2_Mass,,physicalMeasurement,Dissolved O2,
31,BIO,UNKN,,none,nan,SEATM&#124;SeaTurbMtr,,nan,TURBFTUXX,Turbidity of water in the water body,FTU,,,sea_water_turbidity,SDN:P01::TURBXXXX,Turbidity of water in the water body,SDN:P06::UFNU,Formazin Nephelometric Units,Turbidity of water in the water body,,TURB,Turbidity,,physicalMeasurement,Total Suspended Matter,
32,BIO,UNKN,,none,nan,oxTC,,nan,OXYTAAOP,Temperature of oxygen determination by optode,degree_celsius,Beckman/YSI,,temperature_of_sensor_for_oxygen_in_sea_water,SDN:P01::OXYTAAOP,Temperature of oxygen determination by optode,SDN:P06::UPAA,Degrees Celsius,,,,O2_temp,,physicalMeasurement,Temperature,
33,BIO,OBKS,,none,nan,SEATM,,nan,TURBFTUXX,Turbidity of water in the water body,FTU,,,sea_water_turbidity,SDN:P01::TURBXXXX,Turbidity of water in the water body,SDN:P06::UFNU,Formazin Nephelometric Units,Turbidity of water in the water body,,TURB,Turbidity,,physicalMeasurement,Total Suspended Matter,
34,BIO,UNKN,"BIO,IML,MEDS",none&#124;kg/m^3,nan,sigma-t00&#124;Sigma-T,,nan,SIGTEQSTXX,Sigma-T of the water body by computation from salinity and temperature using UNESCO algorithm,kg/m^3,,,sea_water_sigma_t,SDN:P01::SIGTEQST,Sigma-T of the water body by computation from salinity and temperature using UNESCO algorithm,SDN:P06::UKMC,Kilograms per cubic metre,Sigma-T of the water body by computation from salinity and temperature using UNESCO algorithm,,SIGT,Sigma-T,,physicalMeasurement,Other,
35,BIO,UNKN,"BIO,MEDS",none,nan,^alt$&#124;ALT_01,,nan,AHSFZZ01,Height (spatial coordinate) relative to bed surface in the water body,m,,,height_above_sea_floor,SDN:P01::AHSFZZ01,Height (spatial coordinate) relative to bed surface in the water body,SDN:P06::ULAA,Metres,,,ALTB,HeightAboveBed,,coordinate,Location,Altimeter
36,BIO,TRAN,,%,nan,xmiss&#124;Light Transmission,,nan,OPTCPS01,Transmittance (red light wavelength) per unit length of the water body,%,,,,SDN:P01::OPTCPS01,Transmittance (red light wavelength) per unit length of the water body,SDN:P06::UPCT,Percent,,,TRAN,TransmRedLight,,physicalMeasurement,Optical Properties,
37,BIO,UNKN,,%,nan,xmiss,,nan,OPTCPS01,Transmittance (red light wavelength) per unit length of the water body,%,,,,SDN:P01::OPTCPS01,Transmittance (red light wavelength) per unit length of the water body,SDN:P06::UPCT,Percent,,,TRAN,TransmRedLight,,physicalMeasurement,Optical Properties,
