,Vocabulary,name,Users,accepted_units,accepted_scale,accepted_instruments,calibration_review,apply_function,variable_name,long_name,units,instrument,scale,standard_name,sdn_parameter_urn,sdn_parameter_name,sdn_uom_urn,sdn_uom_name,definition,convention,legacy_gf3_code,SDN:P01::Alternative Name,comments,coverage_content_type,ioos_category,seabird_term
80,GF3,QCFF,,none,nan,nan,,nan,QCFF_XX,Quality Flag: QCFF,,,,status_flag,,,,,,,QCFF,,,qualityInformation,Quality,
81,GF3,SECC,"BIO,IML,MEDS",m,nan,nan,,nan,SECCSDNX,Visibility in the water body by Secchi disk,m,,,secchi_depth_of_sea_water,SDN:P01::SECCSDNX,Visibility in the water body by Secchi disk,SDN:P06::ULAA,Metres,Visibility in the water body by Secchi disk,,SECC,Secchi,,physicalMeasurement,Optical Properties,
82,GF3,SIGP,"BIO,IML,MEDS","kg/m^3&#124;kilogram per metre cube&#124;sigma-theta, kg/m^3&#124;sigma-theta, Kg/m^3",nan,nan,,nan,SIGTEQ01,Sigma-theta of the water body by computation from salinity and potential temperature using UNESCO algorithm,kg/m^3,,,sea_water_sigma_theta,SDN:P01::SIGTEQ01,Sigma-theta of the water body by computation from salinity and potential temperature using UNESCO algorithm,SDN:P06::UKMC,Kilograms per cubic metre,Sigma-theta of the water body by computation from salinity and potential temperature using UNESCO algorithm,,SIGP,SigmaTheta,,physicalMeasurement,Other,
83,GF3,SIGT,"BIO,IML,MEDS",kg/m^3&#124;kilogram per metre cube,nan,nan,,nan,SIGTEQSTXX,Sigma-T of the water body by computation from salinity and temperature using UNESCO algorithm,kg/m^3,,,sea_water_sigma_t,SDN:P01::SIGTEQST,Sigma-T of the water body by computation from salinity and temperature using UNESCO algorithm,SDN:P06::UKMC,Kilograms per cubic metre,Sigma-T of the water body by computation from salinity and temperature using UNESCO algorithm,,SIGT,Sigma-T,,physicalMeasurement,Other,
84,GF3,SLCA,"BIO,IML,MEDS",mmol/m^3&#124;millimole per metre cube,nan,nan,,nan,SLCAZZXX,Concentration of silicate {SiO44- CAS 17181-37-2} per unit volume of the water body [unknown phase],mmol/m^3,,,mole_concentration_of_silicate_in_sea_water,SDN:P01::SLCAZZXX,Concentration of silicate {SiO44- CAS 17181-37-2} per unit volume of the water body [unknown phase],SDN:P06::MMCM,Millimoles per cubic metre,Concentration of silicate {SiO44- CAS 17181-37-2} per unit volume of the water body [unknown phase],,SLCA,SiOx,,physicalMeasurement,Nutrients,
85,GF3,SPAR,"BIO,MEDS","ueinsteins/s/m^2&#124;umol photons/m2/s&#124;umol photons/m2/s, logarithmic",nan,nan,,nan,IRRDSV01,Surface Photosynthetically Active Radiation,uEinsteins/s/m^2,,,surface_downwelling_photosynthetic_photon_spherical_irradiance_in_sea_water,SDN:P01::IRRDSV01,Downwelling vector irradiance as photons of electromagnetic radiation (PAR wavelengths) in the atmosphere by cosine-collector radiometer,SDN:P06::UMES,MicroEinsteins per square metre per second,,,SPAR,SurfVPAR,,physicalMeasurement,Optical Properties,
86,GF3,SYTM,"BIO,IML,MEDS",UTC&#124;GMT&#124;none,nan,nan,,nan,measurement_time,Exact Measurement Time,,,,time,,,,,,,SYTM,measurement_time,,coordinate,Time,
87,GF3,TE90,"BIO,IML,MEDS",degree Celsius&#124;degree c&#124;degrees C&#124;deg C,ITS-90,CTD&#124;STD&#124;GUILDLINE&#124;GUILDLN&bsol;.*&#124;SBE *19&#124;SBE *9&#124;SBE *37&#124;SBE *25&#124;Microcat&#124;Maestro&#124;Concerto&#124;XR&bsol;-*620&#124;XR&bsol;-*420,,nan,TEMPS901,Temperature (ITS-90) of the water body by CTD or STD,degree Celsius,CTD,ITS-90,sea_water_temperature,SDN:P01::TEMPS901,Temperature (ITS-90) of the water body by CTD or STD,SDN:P06::UPAA,Degrees Celsius,Temperature of the water body,,TEMP,CTDTmp90,,physicalMeasurement,Temperature,
88,GF3,TE90,"BIO,IML,MEDS",degree Celsius&#124;degree c&#124;degrees C&#124;deg C,ITS-90,Reverse Thermometer,,nan,TEMPR901,Temperature (ITS-90) of the water body by reversing thermometer,degree Celsius,Reverse Thermometer,ITS-90,sea_water_temperature,SDN:P01::TEMPR901,Temperature (ITS-90) of the water body by reversing thermometer,SDN:P06::UPAA,Degrees Celsius,Temperature of the water body,,TEMP,RTTemp90,,physicalMeasurement,Temperature,
89,GF3,TE90,"BIO,IML,MEDS",degree Celsius&#124;degree c&#124;degrees C&#124;deg C,ITS-90,nan,,nan,TEMPP901,Temperature (ITS-90) of the water body,degree Celsius,,ITS-90,sea_water_temperature,SDN:P01::TEMPP901,Temperature (ITS-90) of the water body,SDN:P06::UPAA,Degrees Celsius,Temperature of the water body,,TEMP,WC_temp90,,physicalMeasurement,Temperature,
90,GF3,TEMP,"BIO,IML,MEDS","degree Celsius&#124;degree c&#124;degrees C&#124;IPTS-68, deg C&#124;ITS-68, deg C&#124;deg C",IPTS-68,CTD&#124;STD&#124;GUILDLINE&#124;GUILDLN&bsol;.*&#124;SBE *19&#124;SBE *9&#124;SBE *37&#124;SBE *25&#124;Microcat&#124;Maestro&#124;Concerto&#124;XR&bsol;-*620&#124;XR&bsol;-*420,,nan,TEMPS601,Temperature (IPTS-68) of the water body by CTD or STD,degree Celsius,CTD,IPTS-68,sea_water_temperature,SDN:P01::TEMPS601,Temperature (IPTS-68) of the water body by CTD or STD,SDN:P06::UPAA,Degrees Celsius,Temperature of the water body,,TEMP,CTDTmp68,,physicalMeasurement,Temperature,
91,GF3,TEMP,"BIO,IML,MEDS","degree Celsius&#124;degree c&#124;degrees C&#124;IPTS-68, deg C&#124;ITS-68, deg C&#124;deg C",IPTS-68,Reverse Thermometer,,nan,TEMPR601,Temperature (IPTS-68) of the water body by reversing thermometer,degree Celsius,Reverse Thermometer,IPTS-68,sea_water_temperature,SDN:P01::TEMPR601,Temperature (IPTS-68) of the water body by reversing thermometer,SDN:P06::UPAA,Degrees Celsius,Temperature of the water body,,TEMP,RTTemp68,,physicalMeasurement,Temperature,
92,GF3,TEMP,"BIO,IML,MEDS","degree Celsius&#124;degree c&#124;degrees C&#124;IPTS-68, deg C&#124;ITS-68, deg C&#124;deg C",IPTS-68,nan,,nan,TEMPP681,Temperature (IPTS-68) of the water body,degree Celsius,,IPTS-68,sea_water_temperature,SDN:P01::TEMPP681,Temperature (IPTS-68) of the water body,SDN:P06::UPAA,Degrees Celsius,Temperature of the water body,,TEMP,WC_temp68,,physicalMeasurement,Temperature,
93,GF3,TEMP,"BIO,IML,MEDS",degree Celsius&#124;degree c&#124;degrees C&#124;deg C,ITS-90,CTD&#124;STD&#124;GUILDLINE&#124;GUILDLN&bsol;.*&#124;SBE *19&#124;SBE *9&#124;SBE *37&#124;SBE *25&#124;Microcat&#124;Maestro&#124;Concerto&#124;XR&bsol;-*620&#124;XR&bsol;-*420,,nan,TEMPS901,Temperature (ITS-90) of the water body by CTD or STD,degree Celsius,CTD,ITS-90,sea_water_temperature,SDN:P01::TEMPS901,Temperature (ITS-90) of the water body by CTD or STD,SDN:P06::UPAA,Degrees Celsius,Temperature of the water body,,TEMP,CTDTmp90,,physicalMeasurement,Temperature,
94,GF3,TEMP,"BIO,IML,MEDS","degree Celsius&#124;degree c&#124;degrees C&#124;IPTS-68, deg C&#124;ITS-68, deg C&#124;deg C",IPTS-68,CTD&#124;STD&#124;GUILDLINE&#124;GUILDLN&bsol;.*&#124;SBE *19&#124;SBE *9&#124;SBE *37&#124;SBE *25&#124;Microcat&#124;Maestro&#124;Concerto&#124;XR&bsol;-*620&#124;XR&bsol;-*420,,lambda TEMP: gsw.t90_from_t68(TEMP),TEMPS901,Temperature (ITS-90) of the water body by CTD or STD,degree Celsius,CTD,ITS-90,sea_water_temperature,SDN:P01::TEMPS901,Temperature (ITS-90) of the water body by CTD or STD,SDN:P06::UPAA,Degrees Celsius,Unavailable,,TEMP,CTDTmp90,,physicalMeasurement,Temperature,
95,GF3,TEMP,"BIO,IML,MEDS",degree Celsius&#124;degree c&#124;degrees C&#124;deg C,ITS-90,Reverse Thermometer,,nan,TEMPR901,Temperature (ITS-90) of the water body by reversing thermometer,degree Celsius,Reverse Thermometer,ITS-90,sea_water_temperature,SDN:P01::TEMPR901,Temperature (ITS-90) of the water body by reversing thermometer,SDN:P06::UPAA,Degrees Celsius,Temperature of the water body,,TEMP,RTTemp90,,physicalMeasurement,Temperature,
96,GF3,TEMP,"BIO,IML,MEDS","degree Celsius&#124;degree c&#124;degrees C&#124;IPTS-68, deg C&#124;ITS-68, deg C&#124;deg C",IPTS-68,Reverse Thermometer,,lambda TEMP: gsw.t90_from_t68(TEMP),TEMPR901,Temperature (ITS-90) of the water body by reversing thermometer,degree Celsius,Reverse Thermometer,ITS-90,sea_water_temperature,SDN:P01::TEMPR901,Temperature (ITS-90) of the water body by reversing thermometer,SDN:P06::UPAA,Degrees Celsius,,,TEMP,RTTemp90,,physicalMeasurement,Temperature,
97,GF3,TEMP,"BIO,IML,MEDS",degree Celsius&#124;degree c&#124;degrees C&#124;deg C,ITS-90,nan,,nan,TEMPP901,Temperature (ITS-90) of the water body,degree Celsius,,ITS-90,sea_water_temperature,SDN:P01::TEMPP901,Temperature (ITS-90) of the water body,SDN:P06::UPAA,Degrees Celsius,Temperature of the water body,,TEMP,WC_temp90,,physicalMeasurement,Temperature,
