platform_name,platform,platform_owner,platform_type,country_of_origin,platform_id,ices_platform_codes,wmo_platform_code,call_sign,sdn_platform_urn,dfo_nafc_platform_code,dfo_nafc_platform_name,comments
Hudson,ship,Canadian Coast Guard,Offshore Research Vessel,Canada,18HU,18HU,5405279,CGDG,SDN:C17::18HU,20,hud,
Humphrey Gilbert,ship,,,,,,,,,38,,
Ibis,ship,,,,,,,,,,,
IPMF Barge,ship,,,,,,,,,,,
JL HART,ship,,,,,,,,,,,
John Cabot,ship,Canadian Coast Guard,Offshore Fishery Science Vessel,Canada,18JC,18JC,9781853,CGDJ,SDN:C17::18JC,77,cab,
John P. Tully,ship,Canadian Coast Guard,Offshore Oceanographic Science Vessel,Canada,18DD,18DD,8320420,CG2958,SDN:C17::18DD,,,
Karl & Jackie,ship,,,,,,,,,19,,
Katsheshuk,ship,,,,,,,,,64,ksk,
KingFisher,ship,,,,,,,,,31,,
Kinguk,ship,,,,,,,,,63,kgk,
Lady Hammond,ship,Bedford Institute of Oceanography,Research Vessel,Canada,18LH,18LH,7214844,,SDN:C17::18LH,11,,
Lady Kenda,ship,,,,,,,,,5,,
LAKE MELVILLE,ship,,,,,,,,,17,,
Lauzier,ship,,,,,,,,,29,,
Leim,ship,Canadian Coast Guard,Nearshore Fishery Research Vessel,Canada,18LO,18LO,9656163,CFN6223,SDN:C17::18LO,,,
Limnos,ship,Canadian Coast Guard,Mid Shore Science Vessel,Canada,18LN,18LN,6804903,CG2350,SDN:C17::18LN,,,
Louis S. St-Laurent,ship,Canadian Coast Guard,Heavy Icebreaker,Canada,18SN,18SN,6705937,CGBN,SDN:C17::18SN,,,
M. Perley,ship,Canadian Coast Guard,Nearshore Fishery Research,Canada,18MU,18MU,9656151,CGMP,SDN:C17::18MU,,,
Macoma,ship,,,Denmark,26MK,26MK,,XPA4682,SDN:C17::26MK,,,
Mares,ship,,,,,,,,,26,,
Marinus,ship,,,,,,,,,4,,
Martha Black,ship,,,,,,,,,65,,
Martha L. Black,ship,Canadian Coast Guard,Research Vessel,Canada,18MF,18MF,8320432,CCGC,SDN:C17::18MF,65,,
Martin&Phillip,ship,,,,,,,,,6,,
Maxwell,ship,Canadian Coast Guard,Research Vessel,Canada,18MX,18MX,5230040,,SDN:C17::18MX,,,
meds_data,,,,,,,,,,90,,nafc short name: meds90
meds_data,,,,,,,,,,95,,nafc short name: meds95
meds_data,,,,,,,,,,96,,nafc short name: meds96
MESD LAUNCH,ship,,,,,,,,,,,
MULTIPLE SHIPS,ship,,,,,,,,,,,
naka,,,,,,,,,,50,,nafc short name: naka50
naka,,,,,,,,,,51,,nafc short name: naka51
naka,,,,,,,,,,52,,nafc short name: naka52
naka,,,,,,,,,,53,,nafc short name: naka53
Narwhal,ship,,,,,,,,,,,
Navicula,ship,Canadian Coast Guard,Research Vessel,Canada,18NA,18NA,,CG2364,SDN:C17::18NA,,,
Neil Armstrong,ship,Woods Hole Oceanographic Institution,Research Vessel,United States,33VB,33VB,9688946,WRNU,SDN:C17::33VB,,,
Neocaligus,ship,Canadian Coast Guard,Nearshore Fishery Research Vessel,Canada,18QX,18QX,,CFG7677,SDN:C17::18QX,,,
NFLD Hawk,ship,,,,,,,,,9,,
NFLD Lynx,ship,,,,,,,,,30,,
NSC F.G. CREED,ship,Canadian Coast Guard,Research Vessel,Canada,18FC,18FC,8944496,CG3198,SDN:C17::18FC,,,
olabs,,,,,,,,,,91,,nafc short name: olabs
Opilio,ship,,,Canada,18OP,18OP,,CFD2576,SDN:C17::18OP,,,
osc,,,,,,,,,,93,,nafc short name: osc
Otter Bay,ship,Canadian Coast Guard,Mid Shore Science Vessel,Canada,18D3,18D3,,CG3262,SDN:C17::18D3,,,
Pack_Kat,ship,,,,,,,,,,,
Pack_Kat Launch,ship,,,,,,,,,,,
Pandaslus,ship,,,,,,,,,,,
Pandora II,ship,,,Canada,18P2,18P2,,CZ3946,SDN:C17::18P2,,,
Parizeau,ship,Canadian Coast Guard,Research Vessel,Canada,18PZ,18PZ,6711728,CGBS,SDN:C17::18PZ,21,,
Penguin,ship,USS,naval vessel,United States,319P,319P,,NUKM,SDN:C17::319P,,,
Penny Smart,ship,,,,,,,,,49,,
Petrel,ship,,Naval Vessel,France,35PE,35PE,,FCPL,SDN:C17::35PE,,,
Petrel V,ship,,,,,,,,,22,,
Pierre Radisson,ship,Canadian Coast Guard,Research Vessel,Canada,18RD,18RD,7510834,CGSB,SDN:C17:18RD,,,
Provo Wallis,ship,,,,,,,CGDP,SDN:C17::18PW,,,
Quadra,ship,Canadian Coast Guard,Research Vessel,Canada,18QA,18QA,,VE0MP,SDN:C17::18QA,,,
Quest,ship,,,,,,,,,,,
RRS James Cook,ship,National Environment Research Council,Research Vessel,United Kingdom,740H,740H,9338242,MLRM6,SDN:C17::740H,79,coo,
